Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
25,75770021;1;48,47;0,02829;42,985;44,356;45,728;47,099;48,47;49,841;51,212;52,584;53,955
25,79055441;1;48,4739;0,02829;42,989;44,36;45,731;47,103;48,474;49,845;51,217;52,588;53,959
25,82340862;1;48,4779;0,02829;42,992;44,364;45,735;47,106;48,478;49,849;51,221;52,592;53,964
25,85626283;1;48,4818;0,02829;42,996;44,367;45,739;47,11;48,482;49,853;51,225;52,596;53,968
25,88911704;1;48,4857;0,02829;42,999;44,371;45,742;47,114;48,486;49,857;51,229;52,601;53,972
25,92197125;1;48,4896;0,02829;43,003;44,374;45,746;47,118;48,49;49,861;51,233;52,605;53,977
25,95482546;1;48,4935;0,02829;43,006;44,378;45,75;47,122;48,494;49,865;51,237;52,609;53,981
25,98767967;1;48,4974;0,0283;43,007;44,38;45,752;47,125;48,497;49,87;51,242;52,615;53,987
26,02053388;1;48,5013;0,0283;43,011;44,384;45,756;47,129;48,501;49,874;51,246;52,619;53,992
26,05338809;1;48,5052;0,0283;43,014;44,387;45,76;47,133;48,505;49,878;51,251;52,623;53,996
26,0862423;1;48,5091;0,0283;43,018;44,391;45,763;47,136;48,509;49,882;51,255;52,628;54
26,11909651;1;48,513;0,0283;43,021;44,394;45,767;47,14;48,513;49,886;51,259;52,632;54,005
26,15195072;1;48,5169;0,0283;43,025;44,398;45,771;47,144;48,517;49,89;51,263;52,636;54,009
26,18480493;1;48,5207;0,0283;43,028;44,401;45,774;47,148;48,521;49,894;51,267;52,64;54,013
26,21765914;1;48,5246;0,02831;43,03;44,403;45,777;47,151;48,525;49,898;51,272;52,646;54,02
26,25051335;1;48,5285;0,02831;43,033;44,407;45,781;47,155;48,528;49,902;51,276;52,65;54,024
26,28336756;1;48,5323;0,02831;43,037;44,41;45,784;47,158;48,532;49,906;51,28;52,654;54,028
26,31622177;1;48,5362;0,02831;43,04;44,414;45,788;47,162;48,536;49,91;51,284;52,658;54,032
26,34907598;1;48,54;0,02831;43,043;44,417;45,792;47,166;48,54;49,914;51,288;52,663;54,037
26,38193018;1;48,5438;0,02831;43,047;44,421;45,795;47,17;48,544;49,918;51,292;52,667;54,041
26,41478439;1;48,5477;0,02831;43,05;44,425;45,799;47,173;48,548;49,922;51,296;52,671;54,045
26,4476386;1;48,5515;0,02832;43,052;44,427;45,802;47,177;48,552;49,926;51,301;52,676;54,051
26,48049281;1;48,5553;0,02832;43,055;44,43;45,805;47,18;48,555;49,93;51,305;52,681;54,056
26,51334702;1;48,5591;0,02832;43,058;44,434;45,809;47,184;48,559;49,934;51,309;52,685;54,06
26,54620123;1;48,563;0,02832;43,062;44,437;45,812;47,188;48,563;49,938;51,314;52,689;54,064
26,57905544;1;48,5668;0,02832;43,065;44,441;45,816;47,191;48,567;49,942;51,318;52,693;54,068
26,61190965;1;48,5706;0,02832;43,069;44,444;45,82;47,195;48,571;49,946;51,322;52,697;54,073
26,64476386;1;48,5744;0,02832;43,072;44,448;45,823;47,199;48,574;49,95;51,326;52,701;54,077
26,67761807;1;48,5782;0,02833;43,073;44,45;45,826;47,202;48,578;49,954;51,331;52,707;54,083
26,71047228;1;48,5819;0,02833;43,077;44,453;45,829;47,206;48,582;49,958;51,335;52,711;54,087
26,74332649;1;48,5857;0,02833;43,08;44,456;45,833;47,209;48,586;49,962;51,339;52,715;54,091
26,7761807;1;48,5895;0,02833;43,083;44,46;45,836;47,213;48,59;49,966;51,343;52,719;54,096
26,80903491;1;48,5933;0,02833;43,087;44,463;45,84;47,217;48,593;49,97;51,347;52,723;54,1
26,84188912;1;48,597;0,02833;43,09;44,467;45,843;47,22;48,597;49,974;51,351;52,727;54,104
26,87474333;1;48,6008;0,02833;43,093;44,47;45,847;47,224;48,601;49,978;51,355;52,731;54,108
26,90759754;1;48,6045;0,02834;43,095;44,472;45,85;47,227;48,604;49,982;51,359;52,737;54,114
26,94045175;1;48,6083;0,02834;43,098;44,476;45,853;47,231;48,608;49,986;51,363;52,741;54,119
26,97330595;1;48,612;0,02834;43,101;44,479;45,857;47,234;48,612;49,99;51,367;52,745;54,123
27,00616016;1;48,6158;0,02834;43,105;44,482;45,86;47,238;48,616;49,994;51,371;52,749;54,127
27,03901437;1;48,6195;0,02834;43,108;44,486;45,864;47,242;48,62;49,997;51,375;52,753;54,131
27,07186858;1;48,6232;0,02834;43,111;44,489;45,867;47,245;48,623;50,001;51,379;52,757;54,135
27,10472279;1;48,627;0,02834;43,115;44,493;45,871;47,249;48,627;50,005;51,383;52,761;54,139
27,137577;1;48,6307;0,02835;43,116;44,495;45,873;47,252;48,631;50,009;51,388;52,767;54,145
27,17043121;1;48,6344;0,02835;43,119;44,498;45,877;47,256;48,634;50,013;51,392;52,771;54,15
27,20328542;1;48,6381;0,02835;43,123;44,501;45,88;47,259;48,638;50,017;51,396;52,775;54,154
27,23613963;1;48,6418;0,02835;43,126;44,505;45,884;47,263;48,642;50,021;51,4;52,779;54,158
27,26899384;1;48,6455;0,02835;43,129;44,508;45,887;47,266;48,646;50,025;51,404;52,783;54,162
27,30184805;1;48,6492;0,02835;43,132;44,512;45,891;47,27;48,649;50,028;51,408;52,787;54,166
27,33470226;1;48,6529;0,02835;43,136;44,515;45,894;47,274;48,653;50,032;51,412;52,791;54,17
27,36755647;1;48,6566;0,02835;43,139;44,518;45,898;47,277;48,657;50,036;51,415;52,795;54,174
27,40041068;1;48,6602;0,02836;43,14;44,52;45,9;47,28;48,66;50,04;51,42;52,8;54,18
27,43326489;1;48,6639;0,02836;43,143;44,524;45,904;47,284;48,664;50,044;51,424;52,804;54,184
27,4661191;1;48,6676;0,02836;43,147;44,527;45,907;47,287;48,668;50,048;51,428;52,808;54,188
27,49897331;1;48,6712;0,02836;43,15;44,53;45,911;47,291;48,671;50,052;51,432;52,812;54,192
27,53182752;1;48,6749;0,02836;43,153;44,534;45,914;47,294;48,675;50,055;51,436;52,816;54,197
27,56468172;1;48,6785;0,02836;43,156;44,537;45,917;47,298;48,678;50,059;51,44;52,82;54,201
27,59753593;1;48,6822;0,02836;43,16;44,54;45,921;47,302;48,682;50,063;51,443;52,824;54,205
27,63039014;1;48,6858;0,02837;43,161;44,542;45,923;47,305;48,686;50,067;51,448;52,829;54,211
27,66324435;1;48,6895;0,02837;43,164;44,546;45,927;47,308;48,69;50,071;51,452;52,833;54,215
27,69609856;1;48,6931;0,02837;43,167;44,549;45,93;47,312;48,693;50,075;51,456;52,837;54,219
27,72895277;1;48,6967;0,02837;43,171;44,552;45,934;47,315;48,697;50,078;51,46;52,841;54,223
27,76180698;1;48,7003;0,02837;43,174;44,555;45,937;47,319;48,7;50,082;51,464;52,845;54,227
27,79466119;1;48,7039;0,02837;43,177;44,559;45,94;47,322;48,704;50,086;51,467;52,849;54,231
27,8275154;1;48,7076;0,02837;43,18;44,562;45,944;47,326;48,708;50,089;51,471;52,853;54,235
27,86036961;1;48,7112;0,02838;43,182;44,564;45,946;47,329;48,711;50,094;51,476;52,858;54,241
27,89322382;1;48,7148;0,02838;43,185;44,567;45,95;47,332;48,715;50,097;51,48;52,862;54,245
27,92607803;1;48,7184;0,02838;43,188;44,571;45,953;47,336;48,718;50,101;51,484;52,866;54,249
27,95893224;1;48,7219;0,02838;43,191;44,574;45,956;47,339;48,722;50,105;51,487;52,87;54,253
27,99178645;1;48,7255;0,02838;43,194;44,577;45,96;47,343;48,726;50,108;51,491;52,874;54,257
28,02464066;1;48,7291;0,02838;43,197;44,58;45,963;47,346;48,729;50,112;51,495;52,878;54,261
28,05749487;1;48,7327;0,02838;43,201;44,584;45,967;47,35;48,733;50,116;51,499;52,882;54,265
