Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
5,585215606;1;41,9071;0,03093;36,722;38,019;39,315;40,611;41,907;43,203;44,499;45,796;47,092
5,618069815;1;41,931;0,03093;36,743;38,04;39,337;40,634;41,931;43,228;44,525;45,822;47,119
5,650924025;1;41,9548;0,03092;36,766;38,063;39,36;40,658;41,955;43,252;44,549;45,847;47,144
5,683778234;1;41,9784;0,03092;36,787;38,084;39,382;40,68;41,978;43,276;44,574;45,872;47,17
5,716632444;1;42,0019;0,03091;36,809;38,107;39,405;40,704;42,002;43,3;44,598;45,897;47,195
5,749486653;1;42,0253;0,03091;36,829;38,128;39,427;40,726;42,025;43,324;44,623;45,922;47,221
5,782340862;1;42,0485;0,0309;36,851;38,151;39,45;40,749;42,048;43,348;44,647;45,946;47,246
5,815195072;1;42,0717;0,0309;36,872;38,172;39,472;40,772;42,072;43,372;44,672;45,972;47,272
5,848049281;1;42,0947;0,03089;36,893;38,194;39,494;40,794;42,095;43,395;44,695;45,996;47,296
5,880903491;1;42,1176;0,03089;36,914;38,215;39,516;40,817;42,118;43,419;44,72;46,021;47,322
5,9137577;1;42,1403;0,03089;36,933;38,235;39,537;40,839;42,14;43,442;44,744;46,045;47,347
5,94661191;1;42,163;0,03088;36,955;38,257;39,559;40,861;42,163;43,465;44,767;46,069;47,371
5,979466119;1;42,1855;0,03088;36,975;38,277;39,58;40,883;42,186;43,488;44,791;46,094;47,396
6,012320329;1;42,2079;0,03087;36,996;38,299;39,602;40,905;42,208;43,511;44,814;46,117;47,42
6,045174538;1;42,2302;0,03087;37,016;38,319;39,623;40,927;42,23;43,534;44,837;46,141;47,445
6,078028747;1;42,2523;0,03086;37,037;38,341;39,644;40,948;42,252;43,556;44,86;46,164;47,468
6,110882957;1;42,2744;0,03086;37,056;38,361;39,665;40,97;42,274;43,579;44,884;46,188;47,493
6,143737166;1;42,2963;0,03085;37,077;38,382;39,687;40,991;42,296;43,601;44,906;46,211;47,516
6,176591376;1;42,3181;0,03085;37,096;38,402;39,707;41,013;42,318;43,624;44,929;46,235;47,54
6,209445585;1;42,3398;0,03085;37,115;38,421;39,727;41,034;42,34;43,646;44,952;46,258;47,565
6,242299795;1;42,3614;0,03084;37,136;38,442;39,749;41,055;42,361;43,668;44,974;46,281;47,587
6,275154004;1;42,3829;0,03084;37,155;38,462;39,769;41,076;42,383;43,69;44,997;46,304;47,611
6,308008214;1;42,4042;0,03083;37,175;38,482;39,79;41,097;42,404;43,712;45,019;46,326;47,633
6,340862423;1;42,4255;0,03083;37,194;38,502;39,81;41,118;42,426;43,733;45,041;46,349;47,657
6,373716632;1;42,4466;0,03082;37,214;38,522;39,83;41,138;42,447;43,755;45,063;46,371;47,679
6,406570842;1;42,4676;0,03082;37,232;38,541;39,85;41,159;42,468;43,776;45,085;46,394;47,703
