Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
3.515400411;1;61.0301;0.03501;52.483;54.62;56.757;58.893;61.03;63.167;65.303;67.44;69.577
3.54825462;1;61.1047;0.035;52.55;54.689;56.827;58.966;61.105;63.243;65.382;67.521;69.659
3.58110883;1;61.1789;0.03499;52.616;54.757;56.898;59.038;61.179;63.32;65.46;67.601;69.741
3.613963039;1;61.2527;0.03497;52.685;54.827;56.969;59.111;61.253;63.395;65.537;67.679;69.821
3.646817248;1;61.3261;0.03496;52.75;54.894;57.038;59.182;61.326;63.47;65.614;67.758;69.902
3.679671458;1;61.3991;0.03495;52.816;54.961;57.107;59.253;61.399;63.545;65.691;67.837;69.983
3.712525667;1;61.4717;0.03494;52.88;55.028;57.176;59.324;61.472;63.62;65.767;67.915;70.063
3.745379877;1;61.5439;0.03493;52.945;55.095;57.244;59.394;61.544;63.694;65.843;67.993;70.143
3.778234086;1;61.6156;0.03492;53.009;55.161;57.312;59.464;61.616;63.767;65.919;68.07;70.222
3.811088296;1;61.687;0.03491;53.073;55.227;57.38;59.534;61.687;63.84;65.994;68.147;70.301
3.843942505;1;61.758;0.0349;53.137;55.292;57.447;59.603;61.758;63.913;66.069;68.224;70.379
3.876796715;1;61.8286;0.03489;53.2;55.357;57.514;59.671;61.829;63.986;66.143;68.3;70.457
3.909650924;1;61.8988;0.03488;53.263;55.422;57.581;59.74;61.899;64.058;66.217;68.376;70.535
3.942505133;1;61.9686;0.03487;53.325;55.486;57.647;59.808;61.969;64.129;66.29;68.451;70.612
3.975359343;1;62.0381;0.03487;53.385;55.548;57.712;59.875;62.038;64.201;66.365;68.528;70.691
4.008213552;1;62.1071;0.03486;53.447;55.612;57.777;59.942;62.107;64.272;66.437;68.602;70.767
4.041067762;1;62.1758;0.03485;53.508;55.675;57.842;60.009;62.176;64.343;66.509;68.676;70.843
4.073921971;1;62.2441;0.03484;53.57;55.738;57.907;60.076;62.244;64.413;66.581;68.75;70.918
4.106776181;1;62.312;0.03483;53.631;55.801;57.971;60.142;62.312;64.482;66.653;68.823;70.993
4.13963039;1;62.3795;0.03482;53.691;55.863;58.035;60.207;62.38;64.552;66.724;68.896;71.068
4.1724846;1;62.4467;0.03481;53.752;55.925;58.099;60.273;62.447;64.62;66.794;68.968;71.142
4.205338809;1;62.5135;0.0348;53.812;55.987;58.163;60.338;62.514;64.689;66.864;69.04;71.215
4.238193018;1;62.58;0.03479;53.871;56.049;58.226;60.403;62.58;64.757;66.934;69.111;71.289
4.271047228;1;62.6461;0.03479;53.928;56.108;58.287;60.467;62.646;64.826;67.005;69.184;71.364
4.303901437;1;62.7118;0.03478;53.987;56.168;58.35;60.531;62.712;64.893;67.074;69.255;71.436
4.336755647;1;62.7772;0.03477;54.046;56.229;58.412;60.594;62.777;64.96;67.143;69.325;71.508
4.369609856;1;62.8423;0.03476;54.105;56.289;58.474;60.658;62.842;65.027;67.211;69.395;71.58
4.402464066;1;62.907;0.03475;54.163;56.349;58.535;60.721;62.907;65.093;67.279;69.465;71.651
4.435318275;1;62.9714;0.03475;54.218;56.407;58.595;60.783;62.971;65.16;67.348;69.536;71.724
4.468172485;1;63.0354;0.03474;54.276;56.466;58.656;60.846;63.035;65.225;67.415;69.605;71.795
4.501026694;1;63.0991;0.03473;54.333;56.525;58.716;60.908;63.099;65.291;67.482;69.673;71.865
4.533880903;1;63.1626;0.03472;54.391;56.584;58.777;60.97;63.163;65.356;67.549;69.742;71.935
4.566735113;1;63.2257;0.03471;54.447;56.642;58.837;61.031;63.226;65.42;67.615;69.809;72.004
4.599589322;1;63.2884;0.03471;54.501;56.698;58.895;61.092;63.288;65.485;67.682;69.879;72.075
4.632443532;1;63.3509;0.0347;54.558;56.756;58.954;61.153;63.351;65.549;67.747;69.946;72.144
4.665297741;1;63.4131;0.03469;54.614;56.814;59.013;61.213;63.413;65.613;67.813;70.013;72.212
4.698151951;1;63.475;0.03469;54.667;56.869;59.071;61.273;63.475;65.677;67.879;70.081;72.283
4.73100616;1;63.5365;0.03468;54.723;56.926;59.13;61.333;63.536;65.74;67.943;70.147;72.35
4.76386037;1;63.5978;0.03467;54.778;56.983;59.188;61.393;63.598;65.803;68.008;70.213;72.418
4.796714579;1;63.6588;0.03467;54.831;57.038;59.245;61.452;63.659;65.866;68.073;70.28;72.487
4.829568789;1;63.7196;0.03466;54.886;57.094;59.303;61.511;63.72;65.928;68.137;70.345;72.554
4.862422998;1;63.78;0.03465;54.94;57.15;59.36;61.57;63.78;65.99;68.2;70.41;72.62
4.895277207;1;63.8402;0.03465;54.992;57.204;59.416;61.628;63.84;66.052;68.264;70.476;72.688
4.928131417;1;63.9;0.03464;55.046;57.26;59.473;61.687;63.9;66.113;68.327;70.54;72.754
4.960985626;1;63.9597;0.03463;55.1;57.315;59.53;61.745;63.96;66.175;68.39;70.604;72.819
4.993839836;1;64.019;0.03463;55.151;57.368;59.585;61.802;64.019;66.236;68.453;70.67;72.887
5.026694045;1;64.0781;0.03462;55.205;57.423;59.641;61.86;64.078;66.296;68.515;70.733;72.952
5.059548255;1;64.137;0.03461;55.258;57.478;59.697;61.917;64.137;66.357;68.577;70.796;73.016
5.092402464;1;64.1956;0.03461;55.308;57.53;59.752;61.974;64.196;66.417;68.639;70.861;73.083
5.125256674;1;64.2539;0.0346;55.361;57.584;59.808;62.031;64.254;66.477;68.7;70.923;73.147
