Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1.80698152;0.1087;4.968;0.13106;2.84;3.324;3.808;4.354;4.968;5.658;6.433;7.301;8.169
1.839835729;0.1065;4.9959;0.13087;2.86;3.345;3.831;4.379;4.996;5.689;6.467;7.339;8.211
1.872689938;0.1044;5.0235;0.13068;2.879;3.366;3.854;4.404;5.024;5.72;6.501;7.377;8.253
1.905544148;0.1022;5.0509;0.1305;2.898;3.387;3.877;4.429;5.051;5.75;6.535;7.414;8.294
1.938398357;0.1001;5.078;0.13033;2.916;3.408;3.899;4.454;5.078;5.78;6.568;7.452;8.335
1.971252567;0.098;5.1049;0.13015;2.935;3.428;3.922;4.478;5.105;5.81;6.601;7.488;8.376
2.004106776;0.0959;5.1315;0.12998;2.953;3.449;3.944;4.502;5.132;5.839;6.634;7.525;8.416
2.036960986;0.0938;5.158;0.12982;2.972;3.469;3.966;4.526;5.158;5.868;6.666;7.561;8.457
2.069815195;0.0918;5.1842;0.12966;2.99;3.489;3.987;4.55;5.184;5.897;6.699;7.597;8.496
2.102669405;0.0897;5.2102;0.1295;3.008;3.508;4.009;4.574;5.21;5.926;6.731;7.633;8.536
2.135523614;0.0877;5.236;0.12934;3.026;3.528;4.031;4.597;5.236;5.955;6.762;7.669;8.575
2.168377823;0.0857;5.2616;0.12919;3.044;3.548;4.052;4.621;5.262;5.983;6.794;7.704;8.614
2.201232033;0.0838;5.287;0.12904;3.061;3.567;4.073;4.644;5.287;6.011;6.825;7.739;8.652
2.234086242;0.0818;5.3121;0.12889;3.079;3.586;4.094;4.667;5.312;6.039;6.856;7.773;8.69
2.266940452;0.0798;5.337;0.12875;3.096;3.605;4.114;4.689;5.337;6.066;6.886;7.807;8.728
2.299794661;0.0779;5.3618;0.12861;3.113;3.624;4.135;4.712;5.362;6.094;6.917;7.842;8.766
2.332648871;0.076;5.3863;0.12847;3.13;3.643;4.155;4.734;5.386;6.121;6.947;7.875;8.804
2.36550308;0.0741;5.4107;0.12834;3.147;3.661;4.175;4.756;5.411;6.148;6.977;7.909;8.841
2.39835729;0.0722;5.4348;0.12821;3.163;3.679;4.195;4.778;5.435;6.175;7.007;7.942;8.878
2.431211499;0.0704;5.4587;0.12808;3.18;3.698;4.215;4.8;5.459;6.201;7.036;7.975;8.914
2.464065708;0.0685;5.4825;0.12795;3.196;3.716;4.235;4.821;5.482;6.227;7.066;8.008;8.951
2.496919918;0.0667;5.5061;0.12783;3.213;3.734;4.255;4.843;5.506;6.254;7.095;8.041;8.987
2.529774127;0.0648;5.5295;0.1277;3.229;3.752;4.274;4.864;5.53;6.279;7.124;8.073;9.022
2.562628337;0.063;5.5527;0.12758;3.245;3.769;4.293;4.885;5.553;6.305;7.152;8.105;9.058
2.595482546;0.0612;5.5757;0.12747;3.261;3.787;4.312;4.906;5.576;6.331;7.181;8.137;9.093
2.628336756;0.0595;5.5986;0.12735;3.277;3.804;4.331;4.927;5.599;6.356;7.209;8.169;9.128
2.661190965;0.0577;5.6213;0.12724;3.292;3.821;4.35;4.947;5.621;6.381;7.237;8.2;9.163
2.694045175;0.0559;5.6438;0.12713;3.308;3.838;4.369;4.968;5.644;6.406;7.265;8.231;9.198
2.726899384;0.0542;5.6662;0.12702;3.323;3.855;4.387;4.988;5.666;6.431;7.292;8.262;9.232
2.759753593;0.0525;5.6883;0.12691;3.339;3.872;4.406;5.008;5.688;6.455;7.32;8.293;9.266
2.792607803;0.0508;5.7104;0.12681;3.354;3.889;4.424;5.028;5.71;6.48;7.347;8.324;9.3
2.825462012;0.049;5.7322;0.12671;3.369;3.905;4.442;5.048;5.732;6.504;7.374;8.354;9.334
